season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2017/18,222018,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018/19,222018,40,40,2,62,0,0,0,1,0,0,0,0,0,0,0,6,7.8,0.4,0.0,0.8
2019/20,222018,40,40,6,270,0,0,0,3,0,0,0,0,0,0,0,32,48.0,25.2,1.0,7.4
2020/21,222018,40,39,25,516,1,0,1,10,0,0,0,1,0,0,0,104,98.0,63.7,28.0,18.9
