season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2017/18,171771,45,41,22,427,1,0,2,5,0,0,0,1,0,0,0,88,110.0,1.9,19.0,13.1
2018/19,171771,40,40,49,2150,0,1,3,37,0,0,0,7,0,0,3,365,616.0,108.8,91.0,81.9
2019/20,171771,45,44,84,3057,1,1,7,57,1,0,0,4,0,0,5,539,729.8,45.5,95.0,87.5
2020/21,171771,45,47,94,3100,1,1,9,62,1,0,0,5,1,0,11,584,692.0,75.0,164.0,93.1
