season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,17997,50,48,46,1145,0,1,0,11,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2007/08,17997,45,41,34,990,0,0,0,10,0,0,0,3,0,0,1,0,0.0,0.0,0.0,0.0
2008/09,17997,45,43,57,2459,0,0,0,40,0,0,0,11,0,0,1,0,0.0,0.0,0.0,0.0
2009/10,17997,45,43,38,1704,0,0,0,34,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,17997,45,49,123,2820,3,2,13,45,0,0,0,5,0,0,5,0,0.0,0.0,0.0,0.0
2011/12,17997,50,47,97,2474,1,3,9,32,0,0,0,3,1,0,4,0,0.0,0.0,0.0,0.0
2012/13,17997,50,44,26,984,1,0,1,22,0,0,0,5,0,0,1,0,0.0,0.0,0.0,0.0
2013/14,17997,45,43,71,2245,2,1,7,41,2,0,0,9,0,0,7,95,0.0,0.0,0.0,0.0
2014/15,17997,50,49,66,2082,0,2,5,29,0,0,0,6,0,0,7,326,0.0,0.0,0.0,0.0
2015/16,17997,45,42,20,817,0,2,0,18,0,0,0,1,0,0,2,149,0.0,0.0,0.0,0.0
2016/17,17997,45,42,27,1168,0,0,3,17,0,0,0,4,1,0,0,174,155.0,146.7,51.0,35.4
2017/18,17997,45,40,33,1125,0,0,4,13,0,0,0,5,0,0,0,193,229.4,117.5,35.0,38.3
2018/19,17997,45,42,33,1670,0,0,4,27,1,0,0,9,0,0,0,224,267.8,139.6,66.0,47.4
2019/20,17997,45,44,78,1890,0,2,9,19,0,0,0,6,0,0,6,358,350.6,164.0,109.0,62.5
2020/21,17997,45,44,2,273,0,0,0,8,0,0,0,2,0,0,0,28,39.4,12.9,6.0,5.9
