season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2013/14,104547,50,48,69,892,7,0,1,17,0,0,0,1,0,0,12,81,0.0,0.0,0.0,0.0
2014/15,104547,55,45,67,1096,5,2,2,18,0,0,0,1,0,0,8,225,0.0,0.0,0.0,0.0
2015/16,104547,55,51,37,771,3,1,4,12,0,0,0,1,1,0,4,117,0.0,0.0,0.0,0.0
2017/18,104547,65,61,94,1946,6,3,6,31,0,0,0,3,0,0,8,276,352.0,333.6,808.0,148.7
2018/19,104547,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/20,104547,50,50,58,842,4,2,4,15,0,0,0,2,0,0,10,190,217.0,86.2,348.0,64.7
2020/21,104547,60,59,31,501,1,1,0,9,0,0,0,0,0,0,3,79,79.6,89.4,263.0,42.4
