season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2015/16,173879,45,45,2,55,0,0,0,2,0,0,0,0,0,0,0,-3,0.0,0.0,0.0,0.0
2017/18,173879,55,54,86,1715,5,3,4,31,0,0,0,0,0,0,11,238,269.2,182.6,693.0,114.2
2018/19,173879,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/20,173879,70,73,153,2206,15,6,7,34,1,0,0,2,0,0,20,461,659.6,283.2,1301.0,223.3
2020/21,173879,75,71,69,1031,6,2,5,12,0,0,0,0,0,0,8,224,277.2,121.6,483.0,86.6
