season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2017/18,40845,45,45,87,3240,0,3,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176.0,107.7
2018/19,40845,45,43,65,2484,1,1,5,46,0,0,0,6,1,0,4,404,498.2,249.3,88.0,83.6
2019/20,40845,45,44,63,2525,0,1,6,42,0,0,0,8,0,0,1,406,438.6,292.8,90.0,82.2
2020/21,40845,45,42,8,257,0,0,0,4,0,0,0,1,0,0,0,33,31.0,8.3,41.0,8.0
