season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2012/13,84583,65,71,70,923,3,7,6,10,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0
2013/14,84583,90,85,114,2327,5,7,8,36,0,0,0,1,0,0,4,152,0.0,0.0,0.0,0.0
2014/15,84583,80,79,134,2792,5,7,11,43,0,0,0,3,0,0,15,558,0.0,0.0,0.0,0.0
2015/16,84583,80,81,129,1996,8,6,10,24,0,0,0,2,1,0,18,465,0.0,0.0,0.0,0.0
2016/17,84583,80,87,171,2228,13,8,8,27,0,0,0,2,0,0,21,631,860.0,1081.8,1125.0,306.5
2017/18,84583,90,91,103,1109,7,7,5,14,0,0,0,0,0,0,15,381,550.4,624.4,519.0,169.4
