season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,40145,40,40,24,773,1,3,0,22,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2012/13,40145,45,44,67,2426,0,1,7,30,0,0,0,1,0,0,3,0,0.0,0.0,0.0,0.0
2013/14,40145,45,41,53,1728,0,2,6,26,0,0,0,5,0,0,0,96,0.0,0.0,0.0,0.0
2014/15,40145,45,43,74,1805,3,1,8,19,0,0,0,1,0,0,3,386,0.0,0.0,0.0,0.0
2015/16,40145,50,46,79,2546,1,2,8,31,1,0,0,3,0,0,4,511,0.0,0.0,0.0,0.0
2016/17,40145,50,46,50,2232,0,1,3,51,2,0,0,7,0,0,0,348,331.2,222.0,168.0,71.6
2017/18,40145,45,45,100,3420,2,1,12,39,0,0,0,7,0,0,6,533,589.6,332.8,265.0,119.0
2018/19,40145,50,46,87,3312,1,2,8,63,0,0,0,6,0,0,0,446,491.4,309.7,240.0,104.3
2019/20,40145,50,49,70,2614,0,0,12,41,0,0,0,1,0,0,0,301,313.2,198.2,311.0,82.4
2020/21,40145,50,50,33,1350,0,0,4,24,0,0,0,2,0,0,0,154,140.0,126.2,82.0,34.9
