id,first_name,second_name,now_cost,name,club,position,total_points,weighted_points
382,Francisco,Femenía Far,43,Watford,WAT,DEF,61.666666666666664,81.61111111111111
384,Christian,Kabasele,43,Watford,WAT,DEF,53.0,67.275
390,Adam,Masina,43,Watford,WAT,DEF,46.0,72.33333333333333
398,Marc,Navarro,40,Watford,WAT,DEF,2.0,4.0
400,Jeremy,Ngakia,43,Watford,WAT,DEF,8.0,16.0
401,Ben,Wilmot,45,Watford,WAT,DEF,1.0,2.0
98,James,Tarkowski,49,Burnley,BUR,DEF,112.5,141.5
99,Phil,Bardsley,39,Burnley,BUR,DEF,50.06666666666667,53.07888888888889
100,Erik,Pieters,42,Burnley,BUR,DEF,82.71428571428571,93.56632653061224
103,Kevin,Long,40,Burnley,BUR,DEF,18.666666666666668,22.087301587301585
106,Ben,Mee,48,Burnley,BUR,DEF,95.0,111.16666666666667
110,Matthew,Lowton,44,Burnley,BUR,DEF,65.75,74.17361111111111
113,Charlie,Taylor,44,Burnley,BUR,DEF,68.0,87.27499999999999
585,Connor,Roberts,45,Burnley,BUR,DEF,7.0,14.0
594,Mathias,Jorgensen,45,Brentford,BRE,DEF,87.0,127.16666666666666
271,Nemanja,Matic,43,Man Utd,MUN,MID,63.888888888888886,71.29559748427673
272,Paul,Pogba,74,Man Utd,MUN,MID,96.33333333333333,113.55555555555554
274,Frederico,Rodrigues de Paula Santos,49,Man Utd,MUN,MID,53.0,72.27777777777777
276,Jesse,Lingard,67,Man Utd,MUN,MID,80.0,93.36752136752136
277,Bruno Miguel,Borges Fernandes,116,Man Utd,MUN,MID,180.5,281.3333333333333
281,Marcus,Rashford,94,Man Utd,MUN,MID,119.0,142.49206349206347
285,Scott,McTominay,54,Man Utd,MUN,MID,45.4,57.533333333333324
289,Mason,Greenwood,71,Man Utd,MUN,MID,71.0,100.33333333333333
459,Juan,Mata,47,Man Utd,MUN,MID,112.3,120.97090909090907
511,Andreas,Pereira,50,Man Utd,MUN,MID,22.75,31.714285714285715
512,Anthony,Elanga,48,Man Utd,MUN,MID,11.0,22.0
636,Amad,Diallo,50,Man Utd,MUN,MID,8.0,16.0
706,Hannibal,Mejbri,45,Man Utd,MUN,MID,1.0,2.0
182,Pablo,Hernández Domínguez,55,Leeds,LEE,MID,71.66666666666667,89.57142857142856
186,Mateusz,Klich,52,Leeds,LEE,MID,99.0,198.0
188,Stuart,Dallas,49,Leeds,LEE,MID,171.0,342.0
191,Kalvin,Phillips,47,Leeds,LEE,MID,67.0,134.0
192,Hélder Wander,Sousa de Azevedo e Costa,54,Leeds,LEE,MID,57.5,87.625
193,Tyler,Roberts,48,Leeds,LEE,MID,24.5,39.2
195,Ian Carlo,Poveda-Ocampo,45,Leeds,LEE,MID,14.0,28.0
196,Raphael,Dias Belloli,65,Leeds,LEE,MID,133.0,266.0
197,Jamie,Shackleton,44,Leeds,LEE,MID,17.0,34.0
