season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2015/16,57134,70,59,115,2558,9,3,9,32,0,0,0,1,1,0,11,311,0.0,0.0,0.0,0.0
2016/17,57134,65,63,118,2892,8,3,6,44,0,0,0,2,0,0,10,287,435.4,430.3,1430.0,227.8
2017/18,57134,65,60,103,2765,7,3,6,48,0,0,0,4,0,0,5,271,431.2,387.2,891.0,169.6
2018/19,57134,60,59,148,2601,11,8,9,31,0,0,0,1,0,0,20,466,645.6,468.0,1249.0,236.0
