id,first_name,second_name,now_cost,name,short_name,position
525,Adam,Armstrong,57,Southampton,SOU,FWD
413,Michail,Antonio,76,West Ham,WHU,FWD
149,Christian,Benteke,60,Crystal Palace,CRY,FWD
153,Jordan,Ayew,58,Crystal Palace,CRY,FWD
159,Jean-Philippe,Mateta,52,Crystal Palace,CRY,FWD
542,Robert,Street,45,Crystal Palace,CRY,FWD
586,Odsonne,Edouard,64,Crystal Palace,CRY,FWD
63,Neal,Maupay,65,Brighton,BHA,FWD
72,Aaron,Connolly,53,Brighton,BHA,FWD
447,Danny,Welbeck,59,Brighton,BHA,FWD
500,Florin,Andone,50,Brighton,BHA,FWD
535,Andi,Zeqiri,45,Brighton,BHA,FWD
595,Jürgen,Locadia,44,Brighton,BHA,FWD
655,Evan,Ferguson,45,Brighton,BHA,FWD
430,Raúl,Jiménez,76,Wolves,WOL,FWD
445,Fabio,Silva,56,Wolves,WOL,FWD
523,Patrick,Cutrone,50,Wolves,WOL,FWD
583,Hee-Chan,Hwang,54,Wolves,WOL,FWD
263,Gabriel Fernando,de Jesus,84,Man City,MCI,FWD
663,Kayky da Silva,Chagas,50,Man City,MCI,FWD
704,Liam,Delap,45,Man City,MCI,FWD
315,Teemu,Pukki,58,Norwich,NOR,FWD
322,Jordan,Hugill,54,Norwich,NOR,FWD
329,Adam,Idah,49,Norwich,NOR,FWD
516,Joshua,Sargent,54,Norwich,NOR,FWD
649,Thomas,Dickson-Peters,45,Norwich,NOR,FWD
380,Troy,Deeney,54,Watford,WAT,FWD
383,Andre,Gray,54,Watford,WAT,FWD
388,Stipe,Perica,45,Watford,WAT,FWD
393,Isaac,Success Ajayi,50,Watford,WAT,FWD
395,Ashley,Fletcher,48,Watford,WAT,FWD
404,João Pedro,Junqueira de Jesus,54,Watford,WAT,FWD
450,Emmanuel,Dennis,61,Watford,WAT,FWD
468,Joshua,King,58,Watford,WAT,FWD
469,Adedapo,Awokoya-Mebude,45,Watford,WAT,FWD
472,Juan Camilo,Hernández Suárez,50,Watford,WAT,FWD
104,Jay,Rodriguez,52,Burnley,BUR,FWD
105,Ashley,Barnes,52,Burnley,BUR,FWD
111,Matej,Vydra,52,Burnley,BUR,FWD
533,Lewis,Richardson,44,Burnley,BUR,FWD
700,Wout,Weghorst,66,Burnley,BUR,FWD
78,Ivan,Toney,65,Brentford,BRE,FWD
88,Marcus,Forss,53,Brentford,BRE,FWD
95,Halil,Dervişoğlu,54,Brentford,BRE,FWD
640,Nathan,Young-Coombes,45,Brentford,BRE,FWD
