season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,20452,55,51,39,815,2,0,0,11,0,0,0,2,0,0,4,0,0.0,0.0,0.0,0.0
2007/08,20452,55,53,51,774,3,3,0,14,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,20452,60,57,97,2185,8,1,6,33,0,0,0,2,0,0,9,0,0.0,0.0,0.0,0.0
2012/13,20452,60,58,114,2151,8,6,10,30,0,0,1,3,0,0,11,0,0.0,0.0,0.0,0.0
2013/14,20452,65,55,97,2240,7,2,7,34,0,0,0,2,0,0,11,81,0.0,0.0,0.0,0.0
2014/15,20452,60,54,89,1545,5,6,7,15,0,0,0,2,0,0,7,292,0.0,0.0,0.0,0.0
2015/16,20452,60,57,109,2111,10,4,9,21,0,0,0,2,0,0,8,343,0.0,0.0,0.0,0.0
2016/17,20452,65,61,57,1262,3,2,2,23,0,0,1,2,0,0,2,159,201.6,231.6,584.0,100.1
2017/18,20452,60,56,53,1570,2,2,4,28,0,0,0,6,0,0,0,167,235.6,301.9,512.0,104.6
2018/19,20452,50,47,66,1260,5,2,2,24,0,0,0,3,0,0,5,191,248.6,179.2,417.0,84.2
2019/20,20452,50,46,62,1386,2,3,5,20,0,0,0,0,0,0,4,159,190.8,264.8,536.0,99.4
2020/21,20452,55,51,12,201,0,0,1,6,0,0,0,0,0,0,0,21,9.8,6.4,19.0,3.4
