season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,41823,60,50,8,291,0,0,0,6,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,41823,50,50,9,414,0,0,0,7,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,41823,55,50,22,848,0,0,4,11,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
2012/13,41823,50,46,33,1705,0,0,0,30,1,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0
2013/14,41823,45,43,97,3004,3,3,7,54,1,0,0,7,0,0,8,146,0.0,0.0,0.0,0.0
2014/15,41823,50,48,69,2433,0,4,6,46,0,0,0,1,1,0,1,441,0.0,0.0,0.0,0.0
2015/16,41823,55,54,37,753,2,0,1,14,0,0,0,0,0,0,4,170,0.0,0.0,0.0,0.0
2016/17,41823,50,47,13,224,1,0,0,4,0,0,0,1,0,0,0,62,68.2,42.3,43.0,15.3
2017/18,41823,45,45,55,1740,1,2,6,17,0,0,0,2,0,0,0,398,369.2,263.7,62.0,69.4
2018/19,41823,55,53,29,722,0,1,3,9,0,0,0,1,1,0,2,186,153.8,97.8,24.0,27.5
2019/20,41823,55,53,24,1187,0,0,2,24,0,0,0,3,1,0,2,202,183.0,146.7,24.0,35.4
2020/21,41823,50,48,8,260,0,0,0,6,0,0,0,1,0,0,0,48,37.0,29.8,1.0,6.8
