season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2009/10,58786,45,45,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,58786,45,37,42,860,0,1,5,7,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
2011/12,58786,55,52,43,962,0,1,4,7,0,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0
2012/13,58786,55,51,6,335,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2013/14,58786,45,39,5,112,0,0,0,2,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0
2014/15,58786,45,44,65,2498,0,1,4,39,0,0,0,2,0,0,1,346,0.0,0.0,0.0,0.0
2015/16,58786,45,41,29,1044,0,0,3,15,0,0,0,3,0,0,0,174,0.0,0.0,0.0,0.0
2016/17,58786,45,42,46,2124,0,2,2,44,0,0,0,4,0,0,0,323,421.8,125.1,61.0,61.0
2017/18,58786,45,41,34,1193,0,0,4,21,1,0,0,1,0,0,1,185,222.6,25.7,84.0,33.3
2018/19,58786,40,39,26,1110,0,0,3,21,1,0,0,2,0,0,1,166,269.8,17.1,34.0,32.2
2019/20,58786,40,41,64,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15.0,41.7
2020/21,58786,45,41,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.0,0.0,0.2
