season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,20467,85,83,36,646,0,3,0,7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
2007/08,20467,75,71,65,1260,4,3,0,12,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0
2008/09,20467,70,67,54,1265,2,2,0,15,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
2009/10,20467,80,77,65,1129,3,2,0,9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
2010/11,20467,70,70,133,1691,9,8,10,16,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0
2011/12,20467,90,90,169,2728,8,11,12,33,0,0,0,1,0,0,19,0,0.0,0.0,0.0,0.0
2012/13,20467,90,93,194,2286,14,13,9,27,0,0,0,3,0,0,23,0,0.0,0.0,0.0,0.0
2013/14,20467,95,92,72,860,5,5,4,13,0,0,0,1,0,0,7,70,0.0,0.0,0.0,0.0
2014/15,20467,90,82,51,447,5,1,2,4,0,0,0,0,0,0,3,127,0.0,0.0,0.0,0.0
2015/16,20467,90,80,85,1373,5,3,8,12,0,0,0,0,0,0,0,206,0.0,0.0,0.0,0.0
2016/17,20467,75,72,122,1916,10,3,8,26,0,0,1,1,0,0,7,380,541.8,280.5,1023.0,184.1
2017/18,20467,75,66,62,1214,3,3,4,17,0,0,0,2,0,0,3,226,316.6,234.9,406.0,95.9
2018/19,20467,65,59,101,2108,5,3,6,33,0,0,0,1,0,0,4,292,420.0,342.9,699.0,145.7
2019/20,20467,65,62,63,1281,2,4,4,19,0,0,0,1,0,0,1,186,225.0,289.1,521.0,103.7
2020/21,20467,60,58,76,1629,3,4,5,28,0,0,0,0,0,0,2,185,269.8,248.0,366.0,88.0
