season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2008/09,40387,45,45,35,589,2,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
2009/10,40387,50,46,23,349,2,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,40387,45,43,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,40387,50,48,14,247,1,0,0,6,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0
2012/13,40387,50,46,3,44,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2013/14,40387,45,43,11,361,0,0,0,9,0,0,0,1,0,0,0,16,0.0,0.0,0.0,0.0
2015/16,40387,45,44,86,2446,3,2,5,46,0,0,0,6,0,0,6,405,0.0,0.0,0.0,0.0
2016/17,40387,50,47,49,1366,2,0,4,24,0,0,0,6,0,0,2,254,254.0,181.7,168.0,60.5
2017/18,40387,50,48,59,1941,2,1,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274.0,93.3
2018/19,40387,50,47,54,1734,2,2,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217.0,78.1
2019/20,40387,50,48,54,1254,3,1,2,23,0,0,0,3,0,0,1,186,316.4,151.9,259.0,72.6
