season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,17349,75,74,98,1974,3,8,0,36,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0
2007/08,17349,75,74,95,2129,2,6,0,32,0,0,0,1,0,0,8,0,0.0,0.0,0.0,0.0
2008/09,17349,70,68,128,2522,5,6,0,30,0,0,0,2,0,0,16,0,0.0,0.0,0.0,0.0
2009/10,17349,75,79,103,1801,3,10,0,25,0,0,0,1,0,0,11,0,0.0,0.0,0.0,0.0
2010/11,17349,80,73,99,2361,3,3,8,26,0,0,0,1,0,0,10,0,0.0,0.0,0.0,0.0
2011/12,17349,75,72,89,1571,3,8,5,21,0,0,0,1,0,0,7,0,0.0,0.0,0.0,0.0
2012/13,17349,70,71,130,2823,4,8,11,32,0,0,0,1,0,0,10,0,0.0,0.0,0.0,0.0
2013/14,17349,75,73,81,2177,1,5,9,40,0,0,0,1,0,0,1,97,0.0,0.0,0.0,0.0
2014/15,17349,65,62,62,1347,2,3,6,16,0,0,0,3,0,0,4,210,0.0,0.0,0.0,0.0
2015/16,17349,60,54,80,1538,5,1,5,25,0,0,0,1,0,0,7,319,0.0,0.0,0.0,0.0
2016/17,17349,60,55,22,509,0,1,2,5,0,0,0,0,0,0,0,104,78.0,93.4,54.0,22.3
2017/18,17349,55,54,65,1906,0,4,6,30,0,0,0,2,0,0,0,204,232.2,203.2,297.0,73.3
2018/19,17349,50,49,41,1214,1,1,3,22,0,0,0,1,0,0,2,133,151.6,121.2,108.0,38.0
2019/20,17349,50,46,15,485,0,0,0,15,0,0,0,4,0,0,0,51,45.0,37.8,12.0,9.6
