season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2015/16,116594,50,50,108,3022,1,4,15,29,0,0,0,3,0,0,9,695,0.0,0.0,0.0,0.0
2016/17,116594,50,47,83,3138,1,1,13,33,0,0,0,9,0,0,1,554,515.4,432.8,244.0,119.0
2017/18,116594,50,49,101,2994,1,2,16,32,0,0,0,3,0,0,9,655,676.0,638.2,199.0,151.7
2018/19,116594,50,49,116,3092,4,4,14,38,0,0,0,3,0,0,3,563,683.6,766.3,412.0,186.4
2019/20,116594,50,50,57,1730,3,0,3,25,0,0,0,4,0,0,2,294,422.8,424.5,214.0,106.3
2020/21,116594,50,49,62,2140,0,2,10,24,0,0,0,7,0,0,0,375,449.0,347.3,96.0,89.7
