season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2007/08,38290,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008/09,38290,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2009/10,38290,45,45,6,45,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2010/11,38290,45,44,17,351,0,2,1,3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
2011/12,38290,50,48,11,320,0,0,1,2,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0
2012/13,38290,45,44,62,2215,1,1,8,36,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0
2013/14,38290,50,47,67,1898,1,4,7,27,0,0,0,4,1,0,7,80,0.0,0.0,0.0,0.0
2014/15,38290,50,48,103,2367,3,5,6,38,0,0,0,7,0,0,10,520,0.0,0.0,0.0,0.0
2015/16,38290,55,51,109,2129,1,7,8,19,0,0,0,7,0,0,12,536,0.0,0.0,0.0,0.0
2016/17,38290,60,58,84,1530,2,3,8,11,0,0,0,8,0,0,6,357,387.4,371.5,237.0,99.6
2017/18,38290,65,64,24,800,0,2,2,14,0,0,0,4,0,0,0,136,159.4,181.6,117.0,45.9
2018/19,38290,60,58,86,1792,0,4,8,16,0,0,0,5,0,0,5,352,343.6,416.6,216.0,97.6
2019/20,38290,55,53,47,1753,0,0,5,28,0,0,0,7,0,0,0,290,288.4,230.8,44.0,56.5
2020/21,38290,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
