season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,19838,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2011/12,19838,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2012/13,19838,40,40,20,834,0,1,1,20,0,0,0,0,1,26,0,0,0.0,0.0,0.0,0.0
2013/14,19838,45,43,2,180,0,0,0,8,0,0,0,0,0,7,0,8,0.0,0.0,0.0,0.0
2014/15,19838,40,40,5,225,0,0,0,2,0,0,0,0,0,5,0,28,0.0,0.0,0.0,0.0
2015/16,19838,40,40,66,1890,0,0,4,37,0,0,0,1,0,59,6,348,0.0,0.0,0.0,0.0
2017/18,19838,40,40,57,1440,0,0,3,21,0,1,0,0,0,44,4,280,364.2,0.0,0.0,36.5
2018/19,19838,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/20,19838,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
