season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,18073,45,43,37,837,2,0,0,11,0,0,0,2,0,0,5,0,0.0,0.0,0.0,0.0
2007/08,18073,45,45,86,2289,3,3,0,37,0,0,0,6,0,0,5,0,0.0,0.0,0.0,0.0
2008/09,18073,55,52,87,2345,3,5,0,36,0,0,2,7,1,0,10,0,0.0,0.0,0.0,0.0
2009/10,18073,60,58,79,2119,2,5,0,38,0,0,0,5,1,0,7,0,0.0,0.0,0.0,0.0
2010/11,18073,55,53,78,2140,4,3,4,44,0,0,0,7,0,0,3,0,0.0,0.0,0.0,0.0
2012/13,18073,50,46,98,2286,4,4,7,36,0,0,0,7,0,0,13,0,0.0,0.0,0.0,0.0
2013/14,18073,55,53,125,3340,3,6,14,48,0,0,0,6,1,0,12,198,0.0,0.0,0.0,0.0
2014/15,18073,55,53,89,2302,2,5,7,31,1,0,1,4,0,0,12,483,0.0,0.0,0.0,0.0
2015/16,18073,55,56,133,3196,7,4,11,48,0,0,0,7,1,0,11,716,0.0,0.0,0.0,0.0
2016/17,18073,65,62,71,2389,3,0,8,40,0,0,1,10,0,0,5,389,342.0,384.8,233.0,95.9
2017/18,18073,55,53,84,2400,4,0,7,45,0,0,0,6,0,0,7,461,527.6,337.8,141.0,100.8
2018/19,18073,50,48,99,2289,5,5,7,31,0,0,0,6,1,0,5,454,521.4,359.8,196.0,107.6
2019/20,18073,50,49,105,2675,4,4,7,44,0,0,0,5,0,0,8,504,542.2,602.2,164.0,131.1
2020/21,18073,50,45,27,701,0,0,0,15,0,0,0,1,0,0,0,132,80.4,88.6,7.0,17.6
