season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2017/18,206915,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018/19,206915,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019/20,206915,45,45,13,121,1,0,1,1,0,0,0,0,0,0,0,46,49.4,15.6,65.0,12.9
2020/21,206915,45,44,50,1169,1,2,5,14,0,0,0,2,0,0,0,226,224.6,233.4,289.0,74.8
