season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,15749,35,36,7,90,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
2007/08,15749,40,42,103,2340,0,0,0,34,0,1,0,0,0,104,3,0,0.0,0.0,0.0,0.0
2008/09,15749,50,45,75,1998,0,0,0,31,0,0,0,0,0,68,0,0,0.0,0.0,0.0,0.0
2009/10,15749,40,48,140,3240,0,0,0,42,0,0,0,3,0,140,9,0,0.0,0.0,0.0,0.0
2010/11,15749,60,69,175,3420,0,1,18,33,0,1,0,1,0,115,4,0,0.0,0.0,0.0,0.0
2011/12,15749,70,68,166,3420,0,0,17,29,0,1,0,0,0,99,4,0,0.0,0.0,0.0,0.0
2012/13,15749,70,69,158,3420,0,0,18,34,0,1,0,1,0,75,1,0,0.0,0.0,0.0,0.0
2013/14,15749,65,61,117,2790,0,0,13,30,0,0,0,1,0,71,2,140,0.0,0.0,0.0,0.0
2014/15,15749,60,61,142,3240,0,0,14,34,0,1,0,1,0,87,3,558,0.0,0.0,0.0,0.0
2015/16,15749,55,56,134,3109,0,0,15,36,0,0,0,0,0,71,3,612,0.0,0.0,0.0,0.0
2016/17,15749,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2017/18,15749,45,42,59,1710,0,1,4,39,0,1,0,0,0,54,3,341,382.8,20.0,0.0,40.2
2018/19,15749,45,42,69,1710,0,0,4,41,0,1,0,0,0,77,7,378,594.6,10.1,0.0,60.3
2019/20,15749,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020/21,15749,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
